figure_id,title_cn,source_module,input_files,output_png,output_pdf,output_svg,recommended_location,reason,data_rows,data_columns,status
rq1_01,未来五年三类老人数量变化趋势,RQ1,/Users/lifulin/Desktop/B/Solutions/RQ1/outputs/1_1_high_precision_population_by_year.csv,png/rq1_01_population_trend.png,pdf/rq1_01_population_trend.pdf,svg/rq1_01_population_trend.svg,main_text,展示老龄规模增长与失能化趋势，适合作为问题1核心结果图。,5,4,generated
rq1_02,第5年末各小区老人结构对比,RQ1,/Users/lifulin/Desktop/B/Solutions/RQ1/outputs/1_1_high_precision_population_by_year.csv,png/rq1_02_year5_structure.png,pdf/rq1_02_year5_structure.pdf,svg/rq1_02_year5_structure.svg,main_text,反映空间差异，可支撑后续服务站选址解释。,10,7,generated
rq1_03a,第5年末理论服务需求热力图,RQ1,/Users/lifulin/Desktop/B/Solutions/RQ1/outputs/1_2_high_precision_theoretical_demand.csv,png/rq1_03a_theoretical_demand_heatmap.png,pdf/rq1_03a_theoretical_demand_heatmap.pdf,svg/rq1_03a_theoretical_demand_heatmap.svg,main_text,与消费约束后需求图并排展示，可直接对比预算约束前后的理论需求与实现需求差异。,10,7,generated
rq1_03,第5年末消费约束后服务需求热力图,RQ1,/Users/lifulin/Desktop/B/Solutions/RQ1/outputs/1_3_high_precision_adjusted_demand.csv,png/rq1_03_adjusted_demand_heatmap.png,pdf/rq1_03_adjusted_demand_heatmap.pdf,svg/rq1_03_adjusted_demand_heatmap.svg,main_text,同时呈现空间与服务维度差异，信息密度高，适合正文。,10,7,generated
rq1_04,各小区老人类型消费修正系数热力图,RQ1,/Users/lifulin/Desktop/B/Solutions/RQ1/outputs/1_3_high_precision_adjusted_demand_detail.csv,png/rq1_04_lambda_heatmap.png,pdf/rq1_04_lambda_heatmap.pdf,svg/rq1_04_lambda_heatmap.svg,appendix,可用于解释预算约束对不同群体服务需求的压缩程度。,10,4,generated
rq1_05,老年状态转移矩阵热力图,RQ1,/Users/lifulin/Desktop/B/Solutions/RQ1/outputs/1_4_transition_matrix.csv,png/rq1_05_transition_matrix.png,pdf/rq1_05_transition_matrix.pdf,svg/rq1_05_transition_matrix.svg,appendix,用于补充说明递推预测的状态转移结构，适合作为附录方法图。,3,4,generated
rq1_06,关键参数扰动对第5年规模与需求的敏感性,RQ1,/Users/lifulin/Desktop/B/Solutions/RQ1/outputs/1_4_validation_sensitivity_summary.csv,png/rq1_06_validation_sensitivity.png,pdf/rq1_06_validation_sensitivity.pdf,svg/rq1_06_validation_sensitivity.svg,appendix,以相对基准变化率集中展示规模与需求的局部敏感性；矩阵等价误差最大值为 0.00e+00。,7,5,generated
rq2_01,服务站拓扑布局与覆盖关系图,RQ2,/Users/lifulin/Desktop/B/Solutions/RQ2/outputs/2_1_best_scheme_summary.csv; /Users/lifulin/Desktop/B/Solutions/RQ2/outputs/2_1_best_scheme_stations.csv; /Users/lifulin/Desktop/B/data/附件4：小区间距离矩阵.xlsx,png/rq2_01_topology_layout.png,pdf/rq2_01_topology_layout.pdf,svg/rq2_01_topology_layout.svg,main_text,展示服务站选址和规模配置；图注明确说明为拓扑布局而非真实地图。,10,3,generated
rq2_02,小区—服务站唯一主站服务承接图,RQ2,/Users/lifulin/Desktop/B/Solutions/RQ2/outputs/2_1_best_scheme_allocations.csv,png/rq2_02_service_flow.png,pdf/rq2_02_service_flow.pdf,svg/rq2_02_service_flow.svg,main_text,Plotly 静态导出失败时自动回退为 Matplotlib 条形图，仍保持唯一主站承接口径。,10,18,generated
rq2_03,RQ2 不同方案覆盖率指标对比,RQ2,/Users/lifulin/Desktop/B/Solutions/RQ2/outputs/2_1_best_scheme_summary.csv; /Users/lifulin/Desktop/B/Solutions/RQ2/outputs/2_1_safe_scheme_summary.csv,png/rq2_03_coverage_compare.png,pdf/rq2_03_coverage_compare.pdf,svg/rq2_03_coverage_compare.svg,main_text,自动剔除数值完全重复的方案，仅保留有区分度的覆盖率比较。,8,3,generated
