scenario,global_candidate_rank,pricing_model,price_scheme_detail,converged,all_station_profit_compliant,average_service_access_performance,minimum_service_access_performance,average_service_satisfaction,minimum_service_satisfaction,annual_government_subsidy,annual_net_profit,profit_rate,joint_feasible_solution_exists
S0,1,service_level_station_service_pricing,"{""A"": {""上门护理"": 30.0, ""助浴"": 25.0, ""助餐"": 10.0, ""康复理疗"": 28.0, ""日间照料"": 22.0, ""紧急救助"": 0.0}, ""C"": {""上门护理"": 30.0, ""助浴"": 25.0, ""助餐"": 10.0, ""康复理疗"": 30.8, ""日间照料"": 20.0, ""紧急救助"": 0.0}, ""E"": {""上门护理"": 30.0, ""助浴"": 25.0, ""助餐"": 10.0, ""康复理疗"": 28.0, ""日间照料"": 20.0, ""紧急救助"": 0.0}}",0,1,0.73691,0.682983,0.860856,0.820548,2263000.0,1005205.21,0.02643,0
S0,2,service_level_station_service_pricing,"{""A"": {""上门护理"": 30.0, ""助浴"": 25.0, ""助餐"": 10.0, ""康复理疗"": 28.0, ""日间照料"": 22.0, ""紧急救助"": 0.0}, ""C"": {""上门护理"": 30.0, ""助浴"": 25.0, ""助餐"": 10.0, ""康复理疗"": 30.8, ""日间照料"": 20.0, ""紧急救助"": 0.0}, ""E"": {""上门护理"": 30.0, ""助浴"": 25.0, ""助餐"": 10.0, ""康复理疗"": 30.8, ""日间照料"": 20.0, ""紧急救助"": 0.0}}",0,1,0.736708,0.682983,0.859148,0.820548,2263000.0,1152803.81,0.030318,0
S0,3,service_level_station_service_pricing,"{""A"": {""上门护理"": 30.0, ""助浴"": 25.0, ""助餐"": 10.0, ""康复理疗"": 28.0, ""日间照料"": 22.0, ""紧急救助"": 0.0}, ""C"": {""上门护理"": 33.0, ""助浴"": 25.0, ""助餐"": 10.0, ""康复理疗"": 28.0, ""日间照料"": 20.0, ""紧急救助"": 0.0}, ""E"": {""上门护理"": 30.0, ""助浴"": 25.0, ""助餐"": 10.0, ""康复理疗"": 28.0, ""日间照料"": 20.0, ""紧急救助"": 0.0}}",0,1,0.737329,0.682983,0.860874,0.820548,2263000.0,1007847.14,0.026501,0
S0,4,service_level_station_service_pricing,"{""A"": {""上门护理"": 30.0, ""助浴"": 25.0, ""助餐"": 10.0, ""康复理疗"": 28.0, ""日间照料"": 22.0, ""紧急救助"": 0.0}, ""C"": {""上门护理"": 33.0, ""助浴"": 25.0, ""助餐"": 10.0, ""康复理疗"": 28.0, ""日间照料"": 20.0, ""紧急救助"": 0.0}, ""E"": {""上门护理"": 30.0, ""助浴"": 25.0, ""助餐"": 10.0, ""康复理疗"": 30.8, ""日间照料"": 20.0, ""紧急救助"": 0.0}}",0,0,0.206465,0.125152,0.930978,0.864575,896149.66,-1811071.45,-0.138889,0
S0,5,service_level_station_service_pricing,"{""A"": {""上门护理"": 30.0, ""助浴"": 25.0, ""助餐"": 11.0, ""康复理疗"": 28.0, ""日间照料"": 20.0, ""紧急救助"": 0.0}, ""C"": {""上门护理"": 30.0, ""助浴"": 25.0, ""助餐"": 10.0, ""康复理疗"": 30.8, ""日间照料"": 20.0, ""紧急救助"": 0.0}, ""E"": {""上门护理"": 30.0, ""助浴"": 25.0, ""助餐"": 10.0, ""康复理疗"": 28.0, ""日间照料"": 20.0, ""紧急救助"": 0.0}}",0,1,0.732358,0.672801,0.856555,0.81184,2263000.0,719797.31,0.018921,0
S0,6,service_level_station_service_pricing,"{""A"": {""上门护理"": 30.0, ""助浴"": 25.0, ""助餐"": 11.0, ""康复理疗"": 28.0, ""日间照料"": 20.0, ""紧急救助"": 0.0}, ""C"": {""上门护理"": 30.0, ""助浴"": 25.0, ""助餐"": 10.0, ""康复理疗"": 30.8, ""日间照料"": 20.0, ""紧急救助"": 0.0}, ""E"": {""上门护理"": 30.0, ""助浴"": 25.0, ""助餐"": 10.0, ""康复理疗"": 30.8, ""日间照料"": 20.0, ""紧急救助"": 0.0}}",0,1,0.732147,0.672801,0.854847,0.81184,2263000.0,867395.91,0.022807,0
S0,7,service_level_station_service_pricing,"{""A"": {""上门护理"": 30.0, ""助浴"": 25.0, ""助餐"": 11.0, ""康复理疗"": 28.0, ""日间照料"": 20.0, ""紧急救助"": 0.0}, ""C"": {""上门护理"": 33.0, ""助浴"": 25.0, ""助餐"": 10.0, ""康复理疗"": 28.0, ""日间照料"": 20.0, ""紧急救助"": 0.0}, ""E"": {""上门护理"": 30.0, ""助浴"": 25.0, ""助餐"": 10.0, ""康复理疗"": 28.0, ""日间照料"": 20.0, ""紧急救助"": 0.0}}",0,1,0.732774,0.672801,0.856573,0.81184,2263000.0,722439.24,0.018992,0
S0,8,service_level_station_service_pricing,"{""A"": {""上门护理"": 30.0, ""助浴"": 25.0, ""助餐"": 11.0, ""康复理疗"": 28.0, ""日间照料"": 20.0, ""紧急救助"": 0.0}, ""C"": {""上门护理"": 33.0, ""助浴"": 25.0, ""助餐"": 10.0, ""康复理疗"": 28.0, ""日间照料"": 20.0, ""紧急救助"": 0.0}, ""E"": {""上门护理"": 30.0, ""助浴"": 25.0, ""助餐"": 10.0, ""康复理疗"": 30.8, ""日间照料"": 20.0, ""紧急救助"": 0.0}}",0,0,0.623944,0.468739,0.955819,0.915741,1898000.0,3124704.6,0.104125,0
S0,9,service_level_station_service_pricing,"{""A"": {""上门护理"": 30.0, ""助浴"": 27.5, ""助餐"": 10.0, ""康复理疗"": 28.0, ""日间照料"": 22.0, ""紧急救助"": 0.0}, ""C"": {""上门护理"": 30.0, ""助浴"": 25.0, ""助餐"": 10.0, ""康复理疗"": 30.8, ""日间照料"": 20.0, ""紧急救助"": 0.0}, ""E"": {""上门护理"": 30.0, ""助浴"": 25.0, ""助餐"": 10.0, ""康复理疗"": 28.0, ""日间照料"": 20.0, ""紧急救助"": 0.0}}",0,1,0.737505,0.684197,0.860222,0.819317,2263000.0,1040138.95,0.027353,0
S0,10,service_level_station_service_pricing,"{""A"": {""上门护理"": 30.0, ""助浴"": 25.0, ""助餐"": 10.0, ""康复理疗"": 30.8, ""日间照料"": 22.0, ""紧急救助"": 0.0}, ""C"": {""上门护理"": 30.0, ""助浴"": 25.0, ""助餐"": 10.0, ""康复理疗"": 30.8, ""日间照料"": 20.0, ""紧急救助"": 0.0}, ""E"": {""上门护理"": 30.0, ""助浴"": 25.0, ""助餐"": 10.0, ""康复理疗"": 28.0, ""日间照料"": 20.0, ""紧急救助"": 0.0}}",0,1,0.73739,0.683748,0.858724,0.81629,2263000.0,1147367.6,0.030177,0
